Bioguide_ID,Name,Gender,Party,Born,Number_of_House_Terms,District,TBIP_Floor_Speeches,Standardized_Speech_Ideal_Point
R000487,Edward Royce,M,Republican,1951,13,CA-39,0.280498803,0.829877377
R000515,Bobby Rush,M,Democrat,1946,13,IL-01,-0.02553477,-0.222124591
R000570,Paul Ryan,M,Republican,1970,10,WI-01,0.253937483,0.738571823
R000575,Mike Rogers (Alabama),M,Republican,1958,8,AL-03,0.229656667,0.655105591
R000577,Tim Ryan (Ohio),M,Democrat,1973,8,OH-13,-0.202274755,-0.829674959
R000578,David Reichert,M,Republican,1950,7,WA-08,0.319641382,0.964431465
R000580,Peter Roskam,M,Republican,1961,6,IL-06,0.343544245,1.046598434
R000582,Phil Roe,M,Republican,1945,5,TN-01,0.428406626,1.338316083
R000583,Thomas J. Rooney,M,Republican,1970,5,FL-17,0.262289673,0.767282784
R000585,Tom Reed (New York),M,Republican,1971,5,NY-23,0.239766046,0.689857006
R000586,Jim Renacci,M,Republican,1958,4,OH-16,0.227345839,0.64716208
R000588,Cedric Richmond,M,Democrat,1973,4,LA-02,-0.331282318,-1.273143411
R000591,Martha Roby,F,Republican,1976,4,AL-02,0.268278152,0.78786844
R000592,Todd Rokita,M,Republican,1970,4,IN-04,0.267352462,0.784686327
R000593,Dennis A. Ross,M,Republican,1959,4,FL-15,0.270928591,0.796979427
R000597,Tom Rice (South Carolina),M,Republican,1957,3,SC-07,0.357931256,1.096054316
R000598,Keith Rothfus,M,Republican,1962,3,PA-12,0.311700523,0.937134445
R000599,Raul Ruiz,M,Democrat,1972,3,CA-36,-0.16179131,-0.690511584
R000600,Amata Radewagen,F,Republican,1947,2,AS-AL,0.216826156,0.611000299
R000601,John Ratcliffe,M,Republican,1965,2,TX-04,0.301629663,0.902515471
R000602,Kathleen Rice,F,Democrat,1965,2,NY-04,-0.268360049,-1.056845665
R000603,David Rouzer,M,Republican,1972,2,NC-07,0.299709171,0.89591372
R000604,Steve Russell (politician),M,Republican,1963,2,OK-05,0.418671966,1.304852843
R000606,Jamie Raskin,M,Democrat,1962,1,MD-08,-0.21114333,-0.860161006
R000607,Francis Rooney,M,Republican,1953,1,FL-19,0.013220982,-0.088900223
R000608,Jacky Rosen,F,Democrat,1957,1,NV-03,-0.224268228,-0.905278385
R000609,John Rutherford (Florida),M,Republican,1952,1,FL-04,0.410163641,1.275605202
S000051,Mark Sanford,M,Republican,1960,6,SC-01,0.095316961,0.193307817
S000185,Robert C. Scott,M,Democrat,1947,13,VA-03,-0.3344464,-1.284020066
S000244,Jim Sensenbrenner,M,Republican,1943,20,WI-05,-0.001538839,-0.139637664
S000248,Jose Serrano,M,Democrat,1943,15,NY-15,-0.284938902,-1.113836169
S000250,Pete Sessions,M,Republican,1955,11,TX-32,0.105666719,0.228885502
S000344,Brad Sherman,M,Democrat,1954,11,CA-30,-0.015770165,-0.188558385
S000364,John Shimkus,M,Republican,1958,11,IL-15,0.214076221,0.601547241
S000480,Louise Slaughter,F,Democrat,1929,16,NY-25,-0.465748817,-1.735376954
S000510,Adam Smith,M,Democrat,1965,11,WA-09,-0.092669412,-0.452902436
S000522,Chris Smith (New Jersey),M,Republican,1953,19,NJ-04,0.150534824,0.383121312
S000583,Lamar Smith,M,Republican,1947,16,TX-21,0.6571545,2.124645472
S001145,Jan Schakowsky,F,Democrat,1944,10,IL-09,-0.411708564,-1.549611568
S001148,Michael K. Simpson,M,Republican,1950,10,ID-02,0.103605978,0.221801624
S001150,Adam Schiff,M,Democrat,1960,9,CA-28,-0.190778822,-0.790157259
S001154,Bill Shuster,M,Republican,1961,9,PA-09,0.254378915,0.740089238
S001156,Linda Sánchez,F,Democrat,1969,8,CA-38,-0.488832146,-1.81472671
S001157,David Scott (Georgia),M,Democrat,1945,8,GA-13,-0.102041908,-0.485120744
S001165,Albio Sires,M,Democrat,1951,7,NJ-08,-0.078501165,-0.404198557
S001168,John Sarbanes,M,Democrat,1962,6,MD-03,-0.354042739,-1.351383209
S001170,Carol Shea-Porter,F,Democrat,1952,4,NH-01,-0.337295443,-1.293813705
S001172,Adrian Smith,M,Republican,1970,6,NE-03,0.269906223,0.793464959
S001175,Jackie Speier,F,Democrat,1950,6,CA-14,-0.281034201,-1.100413561
S001176,Steve Scalise,M,Republican,1965,6,LA-01,0.227964342,0.649288177
S001177,Gregorio Sablan,M,Democrat,1955,5,MP-AL,-0.128895849,-0.577432215
S001180,Kurt Schrader,M,Democrat,1951,5,OR-05,-0.154533729,-0.665563345
S001183,David Schweikert,M,Republican,1962,4,AZ-06,0.124632746,0.294081926
S001185,Terri Sewell,F,Democrat,1965,4,AL-07,-0.259664506,-1.026954412
S001187,Steve Stivers,M,Republican,1965,4,OH-15,0.219825938,0.621312141
S001189,Austin Scott,M,Republican,1969,4,GA-08,0.174653143,0.466028899
S001190,Brad Schneider,M,Democrat,1961,2,IL-10,-0.305952281,-1.186070442
S001191,Kyrsten Sinema,F,Democrat,1976,3,AZ-09,0.212909967,0.597538173
S001192,Chris Stewart (Utah),M,Republican,1960,3,UT-02,0.242317095,0.698626339
S001193,Eric Swalwell,M,Democrat,1980,3,CA-15,-0.454869092,-1.697977543
S001195,Jason Smith (Missouri representative),M,Republican,1980,3,MO-08,0.32384485,0.978881061
S001196,Elise Stefanik,F,Republican,1984,2,NY-21,0.12603274,0.298894465
S001199,Lloyd Smucker,M,Republican,1964,1,PA-16,0.250552505,0.726935863
