name,nonwhite,district_percent_white,maj_min,standardized_vote_ideal_point,k_std_speech_ip,k_std_tweet_ip,feb_rank_vote,feb_rank_speech,feb_rank_tweet,bioguide_id,party,vote_ip_rank,kspeech_ip_rank,ktweet_ip_rank,k_vote_speech_gap,k_vote_tweet_gap,k_vote_speech_catgap,k_vote_tweet_catgap,gop,female,number_of_house_terms,rlvthouse,trump16,suburban,urban,district_unemployment_rate,allfreedom_v2,allprog_v2,allbluedog_v2,allnewdems_v2,allgoplead_v2,alldemlead_v2,allcmtechair_v2,alltopcmte_v2,tbip_floor_speeches,speech_ip_rank,allgoplead,alldemlead,allcmtechair,alltopcmte,var41,var42,allprobsolve_v2,allrsc_v2,allprog,allnewdems,allbluedog,allprobsolve,allrsc,allfreedom,present_cong115,present_cong116,born,district,dem,gender,black,hispanic,asianamer,house2016,house2016new,house2018,house2018new,clinton16,district_density,distict_density_sub,district_percent_female,district_percent_male,district_percent_senior,district_median_age,district_percent_black,district_percent_asian,district_percent_hispanic,district_percent_americanindian,district_mean_income,district_mean_minus_national_mea,district_median_income,district_median_minus_national_m,dwnominate_1,dwnominate_2,tbip_tweets,k_speech_tweet_gap,progressive_caucus_cong115,newdems_caucus_cong115,bluedog_caucus_cong115,problemsolvers_caucus_cong115,rsc_caucus_cong115,freedom_caucus_cong115,gop_leadership_cong115,dem_leadership_cong115,committeechair_cong115,topcommittee_cong115,progressive_caucus_cong116,newdems_caucus_cong116,bluedog_caucus_cong116,problemsolvers_caucus_cong116,rsc_caucus_cong116,freedom_caucus_cong116,gop_leadership_cong116,dem_leadership_cong116,committeechair_cong116,topcommittee_cong116,new116,rural,xgopfemale,xgopnonwhite,xgoprlvthouse,xgopterms,xgoptrump,xgopsuburban,xgopurban,xgoppercentwhite,xgopunemployment,xgopprobsolv,xgopcmtechair,xgoptopcmte,xgoprsc,xgopfreedom,xgopprog,xgopbluedog,xgopnewdems,xgopgoplead,xgopdemlead,k_vote_tweet_abscatgap,k_vote_speech_catgap_invert,k_vote_tweet_catgap_invert,k_vote_speech_gap_invert,k_vote_tweet_gap_invert,feb_gap_VS,feb_gap_VT,feb_gapcat_VS,feb_gapcat_VS_invert,feb_gapcat_VT_invert,minfemale,maj_black,maj_hispanic,maj_asian,demographic_sum,x_majmin_nonwhite,x_majblack_black,x_majhisp_hisp,x_female_majmin,x_female_majblack,x_female_majhisp
Dwight Evans,1,33.3,1,-1.15549,-1.45925,-1.32893,77,32,42,E000296,Democrat,83,33,42,50,41,1,0,0,0,3,93.3808,7,0,1,4.9,0,1,0,0,0,0,0,1,-0.355838,15,0,0,0,0,E000296,Dwight Evans,0,0,0,0,0,0,1,0,1,1,1954,PA-03,1,M,1,0,0,86.1492,0,93.3808,93.3808,90.9,Pure urban,Urban,50.68,49.32,1.66,33.6,56.4,5.6,4.3,0.6,79389,-12935,49897,-15815,-0.452,-0.087,-0.364587,-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-50,-41,45,35,45,-1,0,0,1,0,0,100.2,1,1,0,0,0,0
Joyce Beatty,1,52.8,0,-1.14208,-1.12184,-1.31771,99,78,44,B001281,Democrat,106,81,44,25,62,0,1,0,1,4,73.6084,28.6,1,0,3.7,0,0,0,0,0,0,0,0,-0.260598,44,0,0,0,0,B001281,Joyce Beatty,0,0,0,0,0,0,1,0,1,1,1950,OH-03,1,F,1,0,0,70.8822,0,73.6084,73.6084,67,Dense suburban,Suburban,50.46,49.54,0.91,32.6,34.6,4.4,7.2,0.2,68130,-24194,51435,-14277,-0.429,0.068,-0.3607,37,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,-25,-62,21,55,21,0,-1,1,0,0,0,99.2,0,0,0,0,0,0
Karen Bass,1,50.2,0,-1.18332,-0.922139,-1.3127,57,119,45,B001270,Democrat,62,122,45,-60,17,-1,0,0,1,5,89.0755,9.6,0,1,3,0,1,0,0,0,0,0,0,-0.204227,36,0,0,0,0,B001270,Karen Bass,0,0,0,0,0,0,0,0,1,1,1953,CA-37,1,F,1,0,0,62.9924,0,89.0755,89.0755,85.7,Pure urban,Urban,49.26,50.74,1.68,35.7,21.9,9.2,40,0.5,106810,14486,69573,3861,-0.584,-0.101,-0.358966,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,60,-17,-62,12,-62,1,0,1,0,0,0,121.8,0,0,0,0,0,0
"John Conyers, Jr.",1,39.2,1,-1.65863,-1.42936,-1.31058,3,33,46,C000714,Democrat,3,34,46,-31,-43,0,0,0,0,27,80.187,18.1,1,0,9.8,0,0,0,0,0,0,0,0,-0.347401,1,0,0,0,1,C000714,"John Conyers, Jr.",0,0,0,0,0,0,0,0,1,0,1929,MI-13,1,M,1,0,0,80.187,80.187,,0,78.8,Dense suburban,Suburban,52.44,47.56,18.41,36.7,53.7,1.4,7.9,0.3,47615,-40249,34971,-26966,-0.658,-0.512,-0.358229,-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,43,-30,-43,-30,0,0,0,1,0,0,102.5,1,1,0,0,0,0
"Henry C. Johnson, Jr.",1,27.3,1,-1.20662,-0.975368,-1.30991,39,107,47,J000288,Democrat,44,110,47,-66,-3,-1,0,0,0,7,78.8469,22.2,1,0,3.5,0,1,0,0,0,0,0,0,-0.219252,23,0,0,0,0,J000288,"Henry C. Johnson, Jr.",0,0,0,0,0,0,0,0,1,1,1954,GA-04,1,M,1,0,0,77.278,0,78.8469,78.8469,75.3,Sparse suburban,Suburban,50.6,49.4,2.47,36.5,60.9,4.6,10.2,0.3,77312,-15012,60128,-5584,-0.467,0.006,-0.357997,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,66,3,-68,-8,-68,1,0,0,1,0,0,103.3,1,1,0,0,0,0
Ilhan Omar,1,67.2,0,-0.804836,-1.59165,-1.2494,182,18,58,O000173,Democrat,190,19,58,171,132,3,2,0,1,1,77.9661,18.5,0,1,2.9,0,1,0,0,0,0,0,0,-0.393211,13,0,0,0,1,O000173,Ilhan Omar,0,0,0,0,0,0,0,0,0,1,1981,MN-05,1,F,1,0,0,,0,77.9661,77.9661,73.7,Urban-suburban mix,Urban,50.34,49.66,0.87,34.5,16.7,5.6,9.9,0.8,92071,-253,68709,2997,-0.299,-0.954,-0.337041,-39,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-3,-2,-171,-132,164,124,164,-3,-2,1,0,0,0,100.2,0,0,0,0,0,0
Sheila Jackson Lee,1,51,0,-1.17244,-1.10232,-1.21887,62,82,66,J000032,Democrat,67,85,66,-18,1,0,0,0,1,13,75.2468,20,1,0,3.5,0,1,0,0,0,0,0,0,-0.255088,29,0,1,1,0,J000032,Sheila Jackson Lee,0,0,0,1,0,0,0,0,1,1,1950,TX-18,1,F,1,0,0,74.3261,0,75.2468,75.2468,76.5,Dense suburban,Suburban,48.74,51.26,1.28,32.4,33.7,4.4,44.8,0.4,73642,-18682,48625,-17087,-0.46,0.129,-0.326469,19,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,-1,-20,-4,-20,0,0,1,0,0,0,134.3,0,0,0,0,0,0
Alma Adams,1,44.9,1,-1.20608,-1.471,-1.20413,40,31,68,A000370,Democrat,45,32,68,13,-23,0,0,0,1,4,73.0728,29.5,1,0,2.9,0,1,0,0,0,0,0,0,-0.359156,5,0,0,0,0,A000370,Alma Adams,0,0,0,0,0,0,0,0,1,1,1946,NC-12,1,F,1,0,0,69.7108,0,73.0728,73.0728,67.3,Sparse suburban,Suburban,50.35,49.65,0.91,34.1,37.5,5.8,15.9,0.4,88761,-3563,61658,-4054,-0.469,0.009,-0.321364,-36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-13,23,9,-28,9,0,0,1,0,0,0,104.5,1,0,0,1,0,0
Gregory Meeks,1,17.3,1,-1.1631,-1.08092,-1.17098,74,90,72,M001137,Democrat,80,93,72,-13,8,0,0,0,0,12,99.3987,12.7,0,1,3.9,0,0,0,1,0,0,0,0,-0.249048,39,0,0,0,0,M001137,Gregory Meeks,0,0,1,0,0,1,0,0,1,1,1953,NY-05,1,M,1,0,0,87.2525,0,99.3987,99.3987,85.7,Pure urban,Urban,50.03,49.97,3.33,39.7,49.2,15.1,20,0.7,98905,6581,76150,10438,-0.413,-0.075,-0.309881,21,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,-8,-16,2,-16,0,0,0,0,0,0,102.3,1,0,0,0,0,0
Bobby Rush,1,42,1,-1.13869,-0.166905,-1.16108,101,210,74,R000515,Democrat,108,216,74,-108,34,-2,0,0,0,14,73.5056,21.4,0,1,5,0,0,0,0,0,0,0,1,0.008955,101,0,0,0,0,R000515,Bobby Rush,0,0,0,0,0,0,0,0,1,1,1946,IL-01,1,M,1,0,0,73.8299,0,73.5056,73.5056,75.4,Urban-suburban mix,Urban,50.56,49.44,1.97,38.8,50.5,2.6,11.1,0.1,77579,-14745,56680,-9032,-0.478,-0.203,-0.306454,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,108,-34,-109,27,-109,2,0,0,1,0,0,106.3,1,1,0,0,0,0
G.K. Butterfield,1,47.1,1,-1.18679,-0.330379,-1.14752,51,196,77,B001251,Democrat,56,201,77,-145,-21,-3,0,0,0,9,69.8476,43.6,0,0,3.3,0,0,0,0,0,0,0,1,-0.037189,48,0,1,1,0,B001251,G.K. Butterfield,0,0,1,1,0,0,0,0,1,1,1947,NC-01,1,M,1,0,0,69.1588,0,69.8476,69.8476,54.7,Rural-suburban mix,Rural,50.86,49.14,0.96,38.4,44.5,1.8,9,0.5,67332,-24992,47469,-18243,-0.404,0.18,-0.301756,124,1,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,145,21,-145,-26,-145,3,0,0,0,0,0,102.9,1,0,0,0,0,0
Lisa Blunt Rochester,1,67.7,0,-1.14466,-0.990334,-1.14408,95,102,79,B001303,Democrat,102,105,79,-3,23,0,0,0,1,2,64.454,41.9,1,0,2.9,0,1,0,1,0,0,0,1,-0.223476,58,0,0,0,0,B001303,Lisa Blunt Rochester,0,0,0,0,0,0,1,0,1,1,1962,DE-AL,1,F,1,0,0,59.5984,0,64.454,64.454,53.4,Sparse suburban,Suburban,51.37,48.63,0.47,41.4,22.5,3.8,9.6,0.4,92445,121,70176,4464,-0.326,-0.134,-0.300564,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-23,-7,16,-7,0,0,1,0,0,0,104,0,0,0,0,0,0
Joe Neguse,1,90.3,0,-0.831038,-0.679799,-1.13467,171,153,81,N000191,Democrat,179,158,81,21,98,0,2,0,0,1,60.2879,34.9,1,0,2.2,0,1,0,0,0,0,0,0,-0.135821,126,0,0,0,0,N000191,Joe Neguse,0,0,0,0,0,0,1,0,0,1,1984,CO-02,1,M,1,0,0,,0,60.2879,60.2879,56.2,Sparse suburban,Suburban,49.31,50.69,0.65,38,1,3.6,11,0.7,121316,28992,87585,21873,-0.428,-0.551,-0.297305,77,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-2,-21,-98,18,90,18,0,-2,0,0,0,0,106.6,0,0,0,0,0,0
Robert C. Scott,1,43.3,1,-1.16952,-1.54645,-1.13363,66,20,82,S000185,Democrat,72,21,82,51,-10,1,0,0,0,14,91.2241,31.9,1,0,3.8,0,0,0,0,0,1,1,0,-0.380452,6,0,0,0,0,S000185,Robert C. Scott,0,0,0,0,0,0,1,0,1,1,1947,VA-03,1,M,1,0,1,76.7744,0,91.2241,91.2241,63.6,Dense suburban,Suburban,49.35,50.65,1.22,35.1,47.4,2.6,6.8,0.1,74260,-18064,56455,-9257,-0.45,0.013,-0.296944,-61,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-51,10,46,-16,46,-1,0,0,0,0,0,100.2,1,0,0,0,0,0
Lauren Underwood,1,86.1,0,-0.792897,-1.09893,-1.11349,185,85,90,U000040,Democrat,193,88,90,105,103,2,2,0,1,1,52.5019,48.7,1,0,2.2,0,0,0,0,0,0,0,0,-0.254131,75,0,0,0,0,U000040,Lauren Underwood,0,0,0,0,0,0,0,0,0,1,1986,IL-14,1,F,1,0,0,,0,52.5019,52.5019,44.8,Sparse suburban,Suburban,50.4,49.6,0.86,39.8,3.1,5.3,12,0.1,121969,29645,100011,34299,-0.549,0.599,-0.28997,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-2,-2,-105,-103,100,95,100,-2,-2,1,0,0,0,106.6,0,0,0,0,0,0
Anthony Brown (Maryland),1,28.5,1,-1.10186,-1.08387,-1.1032,122,89,93,B001304,Democrat,129,92,93,37,36,0,0,0,0,2,78.0548,19.7,1,0,3.6,0,0,0,1,0,0,0,0,-0.24988,59,0,0,0,0,B001304,Anthony Brown (Maryland),0,0,0,0,0,0,1,0,1,1,1961,MD-04,1,M,1,0,0,75.8856,0,78.0548,78.0548,77.2,Dense suburban,Suburban,49.91,50.09,2.4,38,52.4,3,17.5,0.2,109308,16984,88207,22495,-0.342,-0.159,-0.286405,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-37,-36,33,29,33,0,0,0,1,0,0,101.6,1,1,0,0,0,0
Terri Sewell,1,34.2,1,-1.03006,-0.760475,-1.09993,149,144,96,S001185,Democrat,156,148,96,8,60,0,1,0,1,5,97.8045,28.6,0,0,3.7,0,0,0,1,0,0,0,1,-0.158594,110,0,0,0,1,S001185,Terri Sewell,0,0,0,0,0,0,0,0,1,1,1965,AL-07,1,F,1,0,0,98.1404,0,97.8045,97.8045,69.8,Rural-suburban mix,Rural,51.96,48.04,1.7,36.8,62.6,1.2,3.7,0.2,53378,-38946,38023,-27689,-0.39,0.401,-0.285275,52,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,-8,-60,5,53,5,0,-1,1,1,0,0,101.9,1,1,0,1,1,0
Marcia L. Fudge,1,39.8,1,-1.10719,-1.11366,-1.08997,121,79,98,F000455,Democrat,128,82,98,46,30,1,0,0,1,7,82.2381,17,0,1,5.8,0,1,0,0,0,0,0,0,-0.258287,51,0,0,0,1,F000455,Marcia L. Fudge,0,0,1,0,0,0,0,0,1,1,1952,OH-11,1,F,1,0,0,81.1527,0,82.2381,82.2381,80.5,Urban-suburban mix,Urban,50.46,49.54,1.86,39.3,52.9,2.4,4.8,0.4,65327,-26997,42207,-23505,-0.58,0.14,-0.281825,-16,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-46,-30,42,23,42,0,0,1,1,0,0,100.3,1,1,0,1,1,0
Emanuel Cleaver,1,68.7,0,-1.14904,-0.376982,-1.07731,89,191,102,C001061,Democrat,95,196,102,-101,-7,-2,0,0,0,8,61.6731,40.6,1,0,2.4,0,0,0,0,0,0,0,0,-0.050344,85,0,1,1,0,C001061,Emanuel Cleaver,0,0,1,0,0,0,0,0,1,1,1944,MO-05,1,M,1,0,0,60.1566,0,61.6731,61.6731,54.1,Dense suburban,Suburban,50.79,49.21,0.65,37.5,21.2,1.7,9.4,0.4,72508,-19816,55239,-10473,-0.453,0.018,-0.277441,94,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,101,7,-102,-13,-102,2,0,0,0,0,0,101.4,0,0,0,0,0,0
Hakeem Jeffries,1,31.6,1,-1.17221,-1.59213,-1.07053,63,17,104,J000294,Democrat,68,18,104,50,-36,1,0,0,0,4,89.1855,13.5,0,1,2.9,0,1,0,0,0,1,0,0,-0.393349,5,0,0,0,0,J000294,Hakeem Jeffries,0,0,0,0,0,0,1,1,1,1,1970,NY-08,1,M,1,0,0,83.2838,0,89.1855,89.1855,84.6,Pure urban,Urban,51.99,48.01,2.43,36.4,51.9,6.1,17.1,0.2,88379,-3945,59806,-5906,-0.485,-0.092,-0.275092,-86,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-50,36,46,-41,46,-1,0,0,1,0,0,106.9,1,1,0,0,0,0
John Lewis (Georgia),1,34.8,1,-1.26498,-1.03663,-1.05243,19,95,109,L000287,Democrat,23,98,109,-75,-86,-1,-1,0,0,17,100,11.9,1,0,3.3,0,1,0,0,0,0,0,1,-0.236545,9,0,0,0,0,L000287,John Lewis (Georgia),0,0,1,1,0,0,0,0,1,1,1940,GA-05,1,M,1,0,0,91.8799,0,100,100,85,Dense suburban,Suburban,49.32,50.68,2.11,34,55.4,5.2,6.8,0.4,100204,7880,60247,-5465,-0.589,-0.223,-0.268821,-11,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,75,86,-76,-90,-76,1,2,0,1,0,0,102.6,1,1,0,0,0,0
Maxine Waters,1,43.3,1,-1.14696,-0.78749,-1.04639,91,141,111,W000187,Democrat,97,145,111,-48,-14,-1,0,0,1,15,77.6692,16.7,0,1,3.3,0,1,0,0,0,1,1,0,-0.166219,71,0,0,0,0,W000187,Maxine Waters,0,0,0,0,0,0,1,0,1,1,1938,CA-43,1,F,1,0,0,76.8319,0,77.6692,77.6692,78.4,Pure urban,Urban,50.33,49.67,2.02,35.4,20.2,12,49.7,0.9,91243,-1081,66670,958,-0.653,-0.073,-0.266732,34,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,48,14,-50,-20,-50,1,0,1,0,0,0,126.1,1,0,0,1,0,0
Donald Payne Jr.,1,31.1,1,-1.17679,-0.971363,-1.04467,60,109,112,P000604,Democrat,65,112,112,-47,-47,-1,-1,0,0,5,87.5569,12.8,0,1,4.6,0,0,0,0,0,0,0,0,-0.218121,35,0,0,0,0,P000604,Donald Payne Jr.,0,0,0,0,0,0,0,0,1,1,1958,NJ-10,1,M,1,0,0,86.5649,0,87.5569,87.5569,85.2,Pure urban,Urban,49.73,50.27,2.01,36.7,51,6.4,20,0.3,86791,-5533,61975,-3737,-0.514,-0.112,-0.266136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,47,47,-49,-52,-49,1,1,0,1,0,0,108.8,1,1,0,0,0,0
Robin Kelly,1,37.9,1,-1.20952,-1.07973,-1.03581,35,91,115,K000385,Democrat,40,94,115,-54,-75,-1,-1,0,1,4,81.0555,19.1,1,0,5.4,0,0,0,0,0,0,0,1,-0.24871,17,0,0,0,0,K000385,Robin Kelly,0,0,0,0,0,0,0,0,1,1,1956,IL-02,1,F,1,0,0,80.3618,0,81.0555,81.0555,78,Dense suburban,Suburban,52.2,47.8,2.03,37.9,55.9,0.7,16,0.1,67025,-25299,51472,-14240,-0.46,0.002,-0.263066,-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,54,75,-56,-80,-56,1,1,1,1,0,0,110.6,1,1,0,1,1,0
Alcee L. Hastings,1,38.4,1,-1.14547,-1.47644,-0.942862,94,29,139,H000324,Democrat,100,30,139,70,-39,1,0,0,0,14,99.9186,18.1,0,1,4.8,0,0,0,0,0,0,0,0,-0.360691,15,0,0,0,0,H000324,Alcee L. Hastings,0,0,0,1,0,0,0,0,1,1,1936,FL-20,1,M,1,0,0,88.5902,0,99.9186,99.9186,80.2,Urban-suburban mix,Urban,49.82,50.18,2.32,36.9,52.9,2.5,26.8,0.3,65168,-27156,49223,-16489,-0.564,0.158,-0.230874,-109,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-70,39,65,-45,65,-1,1,0,1,0,0,120.9,1,1,0,0,0,0
Val Demings,1,54.2,0,-1.14026,-1.05249,-0.927878,100,94,142,D000627,Democrat,107,97,142,10,-35,0,0,0,1,2,100,34.9,1,0,3,0,1,0,1,0,1,0,0,-0.241022,56,0,0,0,0,D000627,Val Demings,0,0,0,0,0,1,0,0,1,1,1957,FL-10,1,F,1,0,0,64.8688,0,100,100,61.8,Sparse suburban,Suburban,50.23,49.77,1.32,36.1,29.5,5.2,28.5,0.2,89007,-3317,61737,-3975,-0.339,-0.159,-0.225685,-45,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10,35,6,-42,6,0,0,1,0,0,0,117.6,0,0,0,0,0,0
Steven Horsford,1,63.6,0,-0.744493,-1.66249,-0.854598,195,12,151,H001066,Democrat,204,13,151,191,53,4,1,0,0,2,51.9279,44.6,0,1,3.4,0,1,0,1,0,0,0,1,-0.413207,10,0,0,0,0,H001066,Steven Horsford,0,0,1,1,0,0,0,0,0,1,1973,NV-04,1,M,1,0,0,,0,51.9279,51.9279,49.5,Urban-suburban mix,Urban,49.31,50.69,1.13,37.3,15.6,5.6,32,1.2,79034,-13290,62241,-3471,-0.351,0.089,-0.200305,-138,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-4,-1,-191,-53,183,44,183,-4,0,0,0,0,0,118,0,0,0,0,0,0
Sean Casten,1,82,0,-0.739852,-0.693111,-0.831333,196,152,154,C001117,Democrat,205,157,154,48,51,1,1,0,0,1,53.5753,43.2,1,0,2.1,0,0,0,1,0,0,0,0,-0.139578,144,0,0,0,0,C001117,Sean Casten,0,0,0,0,0,0,1,0,0,1,1971,IL-06,1,M,1,0,0,,0,53.5753,53.5753,50.2,Sparse suburban,Suburban,50.8,49.2,1.11,42.1,2.1,9.5,11.7,0.2,139434,47110,105292,39580,-0.31,0.073,-0.192247,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,-1,-48,-51,44,42,44,0,0,0,0,0,0,105.5,0,0,0,0,0,0
Eddie Bernice Johnson,1,47.9,1,-1.14689,-0.98869,-0.823728,92,103,155,J000126,Democrat,98,106,155,-8,-57,0,-1,0,1,14,91.0522,18.3,1,0,3.8,0,1,0,0,0,1,1,0,-0.223012,55,0,0,0,0,J000126,Eddie Bernice Johnson,0,0,0,1,0,0,0,0,1,1,1935,TX-30,1,F,1,0,0,83.902,0,91.0522,91.0522,79.1,Dense suburban,Suburban,49.13,50.87,1.23,33,41.2,1.8,40.5,0.3,71248,-21076,51819,-13893,-0.485,0.205,-0.189613,-49,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,8,57,-11,-63,-11,0,1,1,0,0,0,131.7,1,0,0,1,0,0
Danny K. Davis,1,39.5,1,-1.28575,-0.9315,-0.786608,16,116,161,D000096,Democrat,20,119,161,-99,-141,-2,-3,0,0,12,87.6151,9.2,0,1,4.5,0,1,0,0,0,0,0,1,-0.206869,8,0,0,0,0,D000096,Danny K. Davis,0,0,0,1,0,0,0,0,1,1,1941,IL-07,1,M,1,0,0,85.7683,0,87.6151,87.6151,87.4,Pure urban,Urban,49.75,50.25,2.31,35.1,42.5,7.8,17.3,0.2,110288,17964,64312,-1400,-0.486,-0.263,-0.176757,-42,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,3,99,141,-100,-145,-100,2,3,0,0,0,0,107.3,1,0,0,0,0,0
Andre Carson,1,57.9,0,-1.17959,-1.36019,-0.746264,59,44,165,C001072,Democrat,64,45,165,19,-101,0,-2,0,0,7,64.8629,36.2,1,0,4.1,0,1,0,1,0,0,0,0,-0.327878,16,0,0,0,0,C001072,Andre Carson,0,0,0,0,0,1,1,0,1,1,1974,IN-07,1,M,1,0,0,62.181,0,64.8629,64.8629,59,Dense suburban,Suburban,50.86,49.14,0.7,33.9,30.7,4.2,11.5,0.3,61395,-30929,46118,-19594,-0.43,0.057,-0.162784,-120,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,-19,101,15,-106,15,0,2,0,0,0,0,104.6,0,0,0,0,0,0
Jahana Hayes,1,75.5,0,-0.825505,-1.1235,-0.708894,173,77,170,H001081,Democrat,181,80,170,101,11,2,0,0,1,1,52.7965,45.8,1,0,3.5,0,1,0,0,0,0,0,0,-0.261065,59,0,0,0,0,H001081,Jahana Hayes,0,0,0,0,0,0,0,0,0,1,1973,CT-05,1,F,1,0,0,,0,52.7965,52.7965,49.9,Sparse suburban,Suburban,50.82,49.18,1,41.9,8,4.2,20.3,0.2,104663,12339,73616,7904,-0.321,-0.131,-0.149841,-90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,-101,-11,96,3,96,-2,0,1,0,0,0,108.2,0,0,0,0,0,0
