name,standardized_vote_ideal_point,standardized_tbip_floor_speeches,standardized_tbip_tweets,bioguide_id,party,tbip_floor_speeches,tbip_tweets
Jason Chaffetz,0.910115,0.797276,0.993113,C001076,Republican,0.281118,0.439636
Glenn Thompson (Pennsylvania),0.922095,1.20947,0.993398,T000467,Republican,0.39747,0.439735
Gary Palmer,1.06873,0.937164,0.998449,P000609,Republican,0.320605,0.441484
Paul Gosar,1.10038,0.997775,1.00052,G000565,Republican,0.337714,0.442203
Michael C. Burgess,1.02722,0.021759,1.00069,B001248,Republican,0.06221,0.442259
Dennis A. Ross,0.81942,0.752331,1.00111,R000593,Republican,0.268431,0.442407
Paul Mitchell (politician),0.924668,1.31391,1.00168,M001201,Republican,0.42695,0.442602
Robert E. Latta,1.02793,1.204,1.0031,L000566,Republican,0.395925,0.443094
Stephen Knight,0.808234,1.05493,1.0042,K000387,Republican,0.353846,0.443478
French Hill,0.997496,0.983531,1.00681,H001072,Republican,0.333693,0.44438
Darrell Issa,0.812797,0.076428,1.01615,I000056,Republican,0.077642,0.447614
Robert Pittenger,0.879417,1.61734,1.02518,P000606,Republican,0.5126,0.450742
Ralph Norman,1.07546,1.36088,1.02857,N000190,Republican,0.440209,0.451915
Devin Nunes,0.975009,0.325603,1.03856,N000181,Republican,0.147977,0.455376
Patrick J. Tiberi,0.829193,0.920007,1.03999,T000462,Republican,0.315762,0.455871
David McKinley,0.84869,0.851378,1.04957,M001180,Republican,0.296389,0.45919
Claudia Tenney,0.794798,1.12558,1.05188,T000478,Republican,0.37379,0.45999
Randy Hultgren,0.813773,1.2158,1.05379,H001059,Republican,0.399257,0.46065
Austin Scott,1.01284,0.558859,1.05483,S001189,Republican,0.213819,0.46101
Joe Wilson,1.0196,2.7468,1.05805,W000795,Republican,0.831415,0.462126
Bill Posey,0.963235,0.736741,1.06437,P000599,Republican,0.264031,0.464314
Martha Roby,0.892157,1.12811,1.06918,R000591,Republican,0.374504,0.46598
John Joyce (Pennsylvania),1.25916,1.43466,1.07055,J000302,Republican,0.461034,0.466457
Jack Bergman,0.911652,1.21756,1.07219,B001301,Republican,0.399753,0.467023
Steven Palazzo,1.04543,1.2308,1.07226,P000601,Republican,0.403491,0.467048
Mike Coffman,0.754952,0.502137,1.07241,C001077,Republican,0.197808,0.467101
Joe Barton,0.861772,0.246398,1.07445,B000213,Republican,0.12562,0.467808
Peter Roskam,0.735026,0.726404,1.07485,R000580,Republican,0.261113,0.467945
Ted Yoho,1.02388,1.05859,1.07508,Y000065,Republican,0.35488,0.468024
Doug Lamborn,1.07805,1.65769,1.07846,L000564,Republican,0.52399,0.469197
Kristi Noem,0.878405,0.635439,1.08025,N000184,Republican,0.235436,0.469816
Brian Babin,1.07046,1.2701,1.08135,B001291,Republican,0.414584,0.470195
Robert B. Aderholt,0.965624,0.71654,1.08294,A000055,Republican,0.258328,0.470748
Marsha Blackburn,0.871096,1.45217,1.08992,B001243,Republican,0.465976,0.473164
Fred Upton,0.629677,0.687483,1.0923,U000031,Republican,0.250126,0.473989
Kenny Marchant,1.01079,1.82346,1.09998,M001158,Republican,0.570781,0.47665
Cathy McMorris Rodgers,0.925564,1.0499,1.10089,M001159,Republican,0.352428,0.476964
Trent Kelly,1.07175,1.07715,1.10224,K000388,Republican,0.360119,0.477432
Mike Bost,0.902796,1.3107,1.10609,B001295,Republican,0.426044,0.478765
Brett Guthrie,1.00136,0.8093,1.11,G000558,Republican,0.284512,0.48012
Lamar Smith,0.820073,1.0739,1.11187,S000583,Republican,0.359201,0.480767
Doug Collins,1.01358,0.501652,1.11207,C001093,Republican,0.197671,0.480837
Lloyd Smucker,0.982286,1.08991,1.11591,S001199,Republican,0.363719,0.482165
Greg Walden,0.800414,0.222375,1.11894,W000791,Republican,0.118839,0.483214
Jimmy Duncan (politician),0.728933,0.432411,1.11967,D000533,Republican,0.178126,0.483469
Warren Davidson,1.00833,0.568269,1.12396,D000626,Republican,0.216476,0.484953
Jason Smith (Missouri representative),1.07651,1.4343,1.12802,S001195,Republican,0.460933,0.48636
Tom Cole,0.838149,-0.505019,1.13326,C001053,Republican,-0.086485,0.488174
Bill Huizenga,0.993554,0.675127,1.13338,H001058,Republican,0.246638,0.488217
Harold Rogers,0.937876,-0.048238,1.13346,R000395,Republican,0.042452,0.488245
Patrick T. McHenry,0.929022,0.128851,1.13712,M001156,Republican,0.09244,0.489512
Liz Cheney,0.996513,0.809507,1.14137,C001109,Republican,0.28457,0.490985
Clay Higgins,1.02198,1.00177,1.14632,H001077,Republican,0.338841,0.492697
Greg Pence,1.17565,2.02476,1.14954,P000615,Republican,0.627604,0.493814
Mo Brooks,1.03319,1.08617,1.15088,B001274,Republican,0.362665,0.494277
Tom McClintock,1.07367,0.851848,1.15771,M001177,Republican,0.296522,0.496643
Darin LaHood,1.01206,1.48405,1.1602,L000585,Republican,0.474976,0.497504
Steve Womack,0.946616,1.01605,1.16057,W000809,Republican,0.342873,0.497632
Markwayne Mullin,0.946878,1.09089,1.16082,M001190,Republican,0.363997,0.49772
Mike Johnson (Louisiana),1.02936,0.960843,1.16099,J000299,Republican,0.327288,0.49778
Kevin McCarthy (California),0.968033,0.655105,1.16112,M001165,Republican,0.240987,0.497825
Steve Scalise,1.07253,0.290386,1.16561,S001176,Republican,0.138036,0.499379
Blaine Luetkemeyer,0.937667,0.917874,1.16746,L000569,Republican,0.315159,0.500019
Frank D. Lucas,0.937251,0.883455,1.17507,L000491,Republican,0.305444,0.502655
Andy Barr,1.03828,0.885444,1.1758,B001282,Republican,0.306005,0.502909
Steve Russell (politician),0.711427,0.538435,1.17811,R000604,Republican,0.208054,0.50371
Drew Ferguson,1.01414,1.26444,1.17868,F000465,Republican,0.412986,0.503906
Todd Rokita,0.876078,0.958699,1.18124,R000592,Republican,0.326683,0.504791
Trey Hollingsworth,0.81653,1.07965,1.1893,H001074,Republican,0.360826,0.507583
Tom Graves,1.03494,0.517728,1.19319,G000560,Republican,0.202209,0.508931
George E.B. Holding,1.02377,0.52924,1.19699,H001065,Republican,0.205458,0.510249
Jackie Walorski,0.963986,1.20573,1.19797,W000813,Republican,0.396413,0.510588
Rick Allen,1.07465,1.65611,1.20256,A000372,Republican,0.523545,0.512177
Gregg Harper,0.818318,-0.05823,1.20907,H001045,Republican,0.039631,0.514429
Bill Johnson (Ohio),0.99286,1.4912,1.21201,J000292,Republican,0.476993,0.515449
David Schweikert,0.953358,-1.76436,1.21224,S001183,Republican,-0.441963,0.515529
Brad Wenstrup,1.01695,0.881913,1.21461,W000815,Republican,0.305009,0.51635
"Earl ""Buddy"" Carter",1.06628,1.19909,1.22261,C001103,Republican,0.39454,0.519122
Bruce Westerman,1.05574,1.22084,1.22398,W000821,Republican,0.400678,0.519594
Mike Kelly,0.956362,0.667191,1.23211,K000376,Republican,0.244398,0.522412
Roger Williams,1.04204,1.70043,1.24311,W000816,Republican,0.536053,0.526222
Charles Fleischmann,0.962196,0.759185,1.24852,F000459,Republican,0.270366,0.528096
Sean Duffy,0.917555,0.694493,1.26868,D000614,Republican,0.252105,0.535078
Michael McCaul,0.88675,0.208649,1.27716,M001157,Republican,0.114964,0.538013
Bob Goodlatte,0.85999,0.408101,1.28295,G000289,Republican,0.171264,0.540019
Erik Paulsen,0.66169,1.26148,1.28328,P000594,Republican,0.412151,0.540132
Pete Sessions,0.856405,0.264201,1.30118,S000250,Republican,0.130645,0.546331
Tom Rice (South Carolina),1.05992,0.716243,1.31576,R000597,Republican,0.258244,0.551383
Morgan Griffith,0.944232,0.966548,1.31733,G000568,Republican,0.328899,0.551926
Jim Jordan,1.11183,0.166104,1.33528,J000289,Republican,0.102955,0.558144
Tim Walberg,1.00094,1.16202,1.33789,W000798,Republican,0.384077,0.559046
Jeb Hensarling,0.846774,0.707076,1.34081,H001036,Republican,0.255657,0.560058
Bob Gibbs,1.01248,0.896598,1.34686,G000563,Republican,0.309154,0.562155
Steve Chabot,1.02944,0.96989,1.3608,C000266,Republican,0.329842,0.566982
Paul Ryan,1.06268,0.695541,1.37453,R000570,Republican,0.252401,0.571738
Sam Graves,1.03523,0.909305,1.37881,G000546,Republican,0.312741,0.57322
Adrian Smith,1.04154,1.08506,1.37894,S001172,Republican,0.362353,0.573265
Kay Granger,0.92308,-0.203771,1.3859,G000377,Republican,-0.001451,0.575675
Jodey Arrington,1.0121,1.45482,1.40014,A000375,Republican,0.466726,0.580607
Mike Rogers (Alabama),1.00317,-0.066128,1.4191,R000575,Republican,0.037402,0.587174
Diane Black,0.840061,1.00861,1.42732,B001273,Republican,0.340772,0.590022
Mike Conaway,1.04255,1.18352,1.43787,C001062,Republican,0.390143,0.593673
John M. Shimkus,0.935428,0.37477,1.48885,S000364,Republican,0.161856,0.611332
Kevin Brady (Texas),1.01134,0.758893,1.51102,B000755,Republican,0.270283,0.619008
Louie Gohmert,1.05198,0.863345,1.55169,G000552,Republican,0.299767,0.633095
Fred Keller (politician),1.27294,1.51662,0.982514,K000395,Republican,0.484171,0.435965
Elijah Cummings,-1.24893,-0.802831,-1.89911,C000984,Democrat,-0.170549,-0.562063
Ayanna Pressley,-0.77071,-1.65597,-1.59483,P000617,Democrat,-0.411368,-0.456679
Barbara Lee (California),-1.20761,-2.13437,-1.58582,L000551,Democrat,-0.546406,-0.453557
Yvette D. Clarke,-1.19985,-1.51953,-1.54259,C001067,Democrat,-0.372855,-0.438586
William Lacy Clay,-1.23871,-1.05364,-1.53437,C001049,Democrat,-0.241347,-0.435738
Donald McEachin,-1.17279,-0.809444,-1.43343,M001200,Democrat,-0.172416,-0.400777
Bonnie Watson Coleman,-1.19084,-1.08784,-1.43179,W000822,Democrat,-0.251,-0.400212
Gwen Moore,-1.22541,-1.21919,-1.40611,M001160,Democrat,-0.288076,-0.391318
Frederica Wilson,-1.28473,-0.859717,-1.40589,W000808,Democrat,-0.186607,-0.39124
Keith Ellison,-1.6735,-0.6477,-1.38905,E000288,Democrat,-0.12676,-0.385407
James E. Clyburn,-1.14988,-0.933406,-1.37934,C000537,Democrat,-0.207407,-0.382045
Brenda Lawrence (Michigan),-1.18329,-1.29276,-1.36404,L000581,Democrat,-0.308842,-0.376745
Mark Veasey,-1.04435,-0.426585,-1.35446,V000131,Democrat,-0.064345,-0.373429
Dwight Evans,-1.15549,-1.45925,-1.32893,E000296,Democrat,-0.355838,-0.364587
Joyce Beatty,-1.14208,-1.12184,-1.31771,B001281,Democrat,-0.260598,-0.3607
Karen Bass,-1.18332,-0.922139,-1.3127,B001270,Democrat,-0.204227,-0.358966
"John Conyers, Jr.",-1.65863,-1.42936,-1.31058,C000714,Democrat,-0.347401,-0.358229
"Henry C. Johnson, Jr.",-1.20662,-0.975368,-1.30991,J000288,Democrat,-0.219252,-0.357997
Ilhan Omar,-0.804836,-1.59165,-1.2494,O000173,Democrat,-0.393211,-0.337041
Sheila Jackson Lee,-1.17244,-1.10232,-1.21887,J000032,Democrat,-0.255088,-0.326469
Alma Adams,-1.20608,-1.471,-1.20413,A000370,Democrat,-0.359156,-0.321364
Gregory Meeks,-1.1631,-1.08092,-1.17098,M001137,Democrat,-0.249048,-0.309881
Bobby Rush,-1.13869,-0.166905,-1.16108,R000515,Democrat,0.008955,-0.306454
G.K. Butterfield,-1.18679,-0.330379,-1.14752,B001251,Democrat,-0.037189,-0.301756
Lisa Blunt Rochester,-1.14466,-0.990334,-1.14408,B001303,Democrat,-0.223476,-0.300564
Joe Neguse,-0.831038,-0.679799,-1.13467,N000191,Democrat,-0.135821,-0.297305
Robert C. Scott,-1.16952,-1.54645,-1.13363,S000185,Democrat,-0.380452,-0.296944
Lauren Underwood,-0.792897,-1.09893,-1.11349,U000040,Democrat,-0.254131,-0.28997
Anthony Brown (Maryland),-1.10186,-1.08387,-1.1032,B001304,Democrat,-0.24988,-0.286405
Terri Sewell,-1.03006,-0.760475,-1.09993,S001185,Democrat,-0.158594,-0.285275
Marcia L. Fudge,-1.10719,-1.11366,-1.08997,F000455,Democrat,-0.258287,-0.281825
Emanuel Cleaver,-1.14904,-0.376982,-1.07731,C001061,Democrat,-0.050344,-0.277441
Hakeem Jeffries,-1.17221,-1.59213,-1.07053,J000294,Democrat,-0.393349,-0.275092
John Lewis (Georgia),-1.26498,-1.03663,-1.05243,L000287,Democrat,-0.236545,-0.268821
Maxine Waters,-1.14696,-0.78749,-1.04639,W000187,Democrat,-0.166219,-0.266732
Donald Payne Jr.,-1.17679,-0.971363,-1.04467,P000604,Democrat,-0.218121,-0.266136
Robin Kelly,-1.20952,-1.07973,-1.03581,K000385,Democrat,-0.24871,-0.263066
Alcee L. Hastings,-1.14547,-1.47644,-0.942862,H000324,Democrat,-0.360691,-0.230874
Val Demings,-1.14026,-1.05249,-0.927878,D000627,Democrat,-0.241022,-0.225685
Steven Horsford,-0.744493,-1.66249,-0.854598,H001066,Democrat,-0.413207,-0.200305
