Bioguide_ID,Name,Gender,Party,Born,Number_of_House_Terms,District,TBIP_Floor_Speeches,Standardized_Speech_Ideal_Point
G000579,Michael Gallagher (Wisconsin),M,Republican,1984,3,WI-08,0.36683329939842224,1.1211894241122111
G000582,Jenniffer González-Colón,F,Republican,1976,3,PR-AL,-0.144770384,-0.503266837
G000583,Josh Gottheimer,M,Democrat,1975,3,NJ-05,-0.147782177,-0.512829954
G000585,Jimmy Gomez,M,Democrat,1974,3,CA-34,-0.240297943,-0.806588231
G000586,Jesus Garcia,M,Democrat,1956,2,IL-04,-0.329913616,-1.09113806
G000587,Sylvia Garcia,F,Democrat,1950,2,TX-29,-0.305282712,-1.012929424
G000588,Anthony Gonzalez,M,Republican,1984,2,OH-16,0.2392798513174057,0.7161786624803474
G000590,Mark Green (Tennessee),M,Republican,1964,2,TN-07,0.4178332984447479,1.2831258418863287
G000591,Michael Guest,M,Republican,1970,2,MS-03,0.35323354601860046,1.0780071616392386
G000593,Carlos Gimenez,M,Republican,1954,1,FL-26,0.4216611087322235,1.2952799967385604
G000594,Tony Gonzales,M,Republican,1980,1,TX-23,0.21328440308570862,0.6336372929942469
G000595,Bob Good,M,Republican,1965,1,VA-05,0.5438578724861145,1.6832820860703812
G000596,Marjorie Taylor Greene,F,Republican,1974,1,GA-14,0.43715807795524597,1.3444863443710866
G000597,Andrew Garbarino,M,Republican,1984,1,NY-02,0.10317152738571167,0.2840042542667916
H000874,Steny Hoyer,M,Democrat,1939,21,MD-05,-0.181689903,-0.620494579
H001038,Brian Higgins,M,Democrat,1959,9,NY-26,-0.305095136,-1.012333829
H001047,Jim Himes,M,Democrat,1966,7,CT-04,-0.138573945,-0.483591755
H001052,Andrew Harris,M,Republican,1957,6,MD-01,0.4289359748363495,1.318379325733026
H001053,Vicky Hartzler,F,Republican,1960,6,MO-04,0.48537692427635193,1.497591979438802
H001056,Jaime Herrera Beutler,F,Republican,1978,6,WA-03,0.078335531,0.2051444042137911
H001058,Bill Huizenga,M,Republican,1969,6,MI-02,0.23304104804992676,0.6963690650053493
H001066,Steven Horsford,M,Democrat,1973,3,NV-04,-0.39497003,-1.297706742
H001067,Richard Hudson,M,Republican,1971,5,NC-08,0.30706945061683655,0.931425821
H001068,Jared Huffman,M,Democrat,1964,5,CA-02,-0.392806232,-1.2908362
H001071,Jody Hice,M,Republican,1960,4,GA-10,0.4669208228588104,1.438989724428607
H001072,French Hill,M,Republican,1956,4,AR-02,0.14119140803813934,0.40472588940762955
H001077,Clay Higgins,M,Republican,1961,3,LA-03,0.3114822208881378,0.9454373546710421
H001081,Jahana Hayes,F,Democrat,1973,2,CT-05,-0.158364862,-0.54643235
H001082,Kevin Hern,M,Republican,1961,3,OK-01,0.3819137215614319,1.1690731415487732
H001084,Yvette Herrell,F,Republican,1964,1,NM-02,0.21870091557502747,0.6508359331070109
H001085,Chrissy Houlahan,F,Democrat,1967,2,PA-06,-0.203693151,-0.69035982
H001086,Diana Harshbarger,F,Republican,1960,1,TN-01,0.44654637575149536,1.3742962922642286
H001088,Jim Hagedorn,M,Republican,1962,2,MN-01,0.4136844575405121,1.269952342935154
H001091,Ashley Hinson,F,Republican,1983,1,IA-01,0.382505864,1.1709533260922098
I000056,Darrell Issa,M,Republican,1953,10,CA-50,0.2135622799396515,0.6345196142325076
J000020,Christopher Jacobs,M,Republican,1966,2,NY-27,0.3600771129131317,1.099737019059261
J000032,Sheila Jackson Lee,F,Democrat,1950,14,TX-18,-0.253100395,-0.847238883
J000126,Eddie Bernice Johnson,F,Democrat,1935,15,TX-30,-0.410636753,-1.347452096
J000288,"Henry C. Johnson, Jr.",M,Democrat,1954,8,GA-04,-0.220089614,-0.742422261
J000289,Jim Jordan,M,Republican,1964,8,OH-04,0.5244942307472229,1.6217981873077711
J000292,Bill Johnson (Ohio),M,Republican,1954,6,OH-06,0.3793403208255768,1.1609020179320233
J000294,Hakeem Jeffries,M,Democrat,1970,5,NY-08,-0.419389963,-1.375245499
J000298,Pramila Jayapal,F,Democrat,1965,3,WA-07,-0.328737825,-1.087404661
J000299,Mike Johnson (Louisiana),M,Republican,1972,3,LA-04,0.6093800067901611,1.8913295353355073
J000301,Dusty Johnson,M,Republican,1976,2,SD-AL,0.17216452956199646,0.5030724862830503
J000302,John Joyce (Pennsylvania),M,Republican,1957,2,PA-13,0.49569088220596313,1.5303411055451979
J000304,Ronny Jackson,M,Republican,1967,1,TX-13,0.7468854188919067,2.327940011349128
J000305,Sara Jacobs,F,Democrat,1989,1,CA-53,-0.441340774,-1.44494424
J000306,Mondaire Jones,M,Democrat,1987,1,NY-17,-0.319951773,-1.059506977
K000009,Marcy Kaptur,F,Democrat,1946,20,OH-09,-0.110794067,-0.395384424
K000375,Bill Keating,M,Democrat,1952,6,MA-09,-0.263220429,-0.879372257
K000376,Mike Kelly,M,Republican,1948,6,PA-16,0.29708346724510193,0.8997180874364039
K000380,Dan Kildee,M,Democrat,1958,5,MI-05,-0.218671963,-0.737920899
K000381,Derek Kilmer,M,Democrat,1974,5,WA-06,-0.153783768,-0.531886352
K000382,Annie Kuster,F,Democrat,1956,5,NH-02,-0.294799626,-0.979643278
K000385,Robin Kelly,F,Democrat,1956,5,IL-02,-0.474251449,-1.549443003
K000386,John Katko,M,Republican,1962,4,NY-24,0.1433066427707672,0.41144223336367575
K000388,Trent Kelly,M,Republican,1966,4,MS-01,0.3621751368045807,1.1063987147404148
K000389,Ro Khanna,M,Democrat,1976,3,CA-17,-0.238078043,-0.79953955
K000391,Raja Krishnamoorthi,M,Democrat,1973,3,IL-08,0.13694801926612854,0.3912521798034752
K000392,David Kustoff,M,Republican,1966,3,TN-08,0.17558641731739044,0.5139377461947275
K000395,Fred Keller (politician),M,Republican,1965,2,PA-12,0.32867932319641113,1.0000420055724506
K000396,Kaiali'i Kahele,M,Democrat,1974,1,HI-02,-0.161345243,-0.555895728
K000397,Young Kim (California),F,Republican,1962,1,CA-39,0.08086361,0.213171621
L000266,Jacob LaTurner,M,Republican,1988,1,KS-02,0.052672624588012695,0.12365892929620441
L000273,Teresa Leger Fernandez,F,Democrat,1959,1,NM-03,-0.339610308,-1.12192723
L000397,Zoe Lofgren,F,Democrat,1947,14,CA-19,-0.182728678,-0.623792922
L000491,Frank D. Lucas,M,Republican,1960,15,OK-03,-0.144921556,-0.503746843
L000551,Barbara Lee (California),F,Democrat,1946,13,CA-13,-0.452572137,-1.480606332
L000557,John B. Larson,M,Democrat,1948,12,CT-01,-0.716653585,-2.319124068
L000559,Jim Langevin,M,Democrat,1964,11,RI-02,-0.212799951,-0.719275949
L000564,Doug Lamborn,M,Republican,1954,8,CO-05,0.5278415679931641,1.632426732657296
L000566,Robert E. Latta,M,Republican,1956,8,OH-05,-0.000613999,-0.045538035
L000569,Blaine Luetkemeyer,M,Republican,1952,7,MO-03,0.13943028450012207,0.39913392779317647
L000578,Doug LaMalfa,M,Republican,1960,5,CA-01,0.40038928389549255,1.2277371893269418
L000581,Brenda Lawrence (Michigan),F,Democrat,1954,4,MI-14,-0.44923231,-1.470001633
L000582,Ted Lieu,M,Democrat,1969,4,CA-33,-0.325877219,-1.078321597
L000583,Barry Loudermilk,M,Republican,1963,4,GA-11,0.17693528532981873,0.5182207041960467
L000585,Darin LaHood,M,Republican,1968,4,IL-18,0.18954703211784363,0.5582658244885366
L000588,Conor Lamb,M,Democrat,1984,3,PA-17,-0.033928324,-0.151318474
L000589,Debbie Lesko,F,Republican,1958,3,AZ-08,0.5388231873512268,1.6672958333133225
L000590,Susie Lee,F,Democrat,1966,2,NV-03,-0.294312507,-0.978096566
L000591,Elaine Luria,F,Democrat,1975,2,VA-02,-0.120667279,-0.426734081
L000592,Andy Levin,M,Democrat,1960,2,MI-09,-0.147535846,-0.512047798
L000593,Mike Levin,M,Democrat,1978,2,CA-49,-0.24224022,-0.812755395
L000595,Julia Letlow,F,Republican,1981,1,LA-05,0.24963438510894775,0.7490566260348227
M000087,Carolyn B. Maloney,F,Democrat,1946,15,NY-12,-0.550730765,-1.792281957
M000194,Nancy Mace,F,Republican,1977,1,SC-01,0.097633205,0.2664188415799091
M000312,Jim McGovern (Massachusetts),M,Democrat,1959,13,MA-02,-0.103860281,-0.373368101
M000317,Nicole Malliotakis,F,Republican,1980,1,NY-11,0.3165954649448395,0.9616730495971328
M000687,Kweisi Mfume,M,Democrat,1948,7,MD-07,-0.516468287,-1.683490915
M000871,Tracey Mann,M,Republican,1976,1,KS-01,0.5551614165306091,1.7191733696967735
M001135,Kathy Manning,F,Democrat,1956,1,NC-06,-0.377448618,-1.242072337
M001136,Lisa McClain,F,Republican,1966,1,MI-10,0.4762750566005707,1.4686915113205339
M001137,Gregory Meeks,M,Democrat,1953,13,NY-05,-0.278835595,-0.928953904
M001143,Betty McCollum,F,Democrat,1954,11,MN-04,-0.184051111,-0.627991944
M001156,Patrick T. McHenry,M,Republican,1975,9,NC-10,0.15699511766433716,0.4549062065108549
M001157,Michael McCaul,M,Republican,1962,9,TX-10,0.13402044773101807,0.3819564845870374
M001159,Cathy McMorris Rodgers,F,Republican,1969,9,WA-05,0.22776441276073456,0.6796145663267098
M001160,Gwen Moore,F,Democrat,1951,9,WI-04,-0.364537627,-1.201077047
M001163,Doris Matsui,F,Democrat,1944,9,CA-06,-0.230748296,-0.776265961
M001165,Kevin McCarthy (California),M,Republican,1965,9,CA-20,0.28404104709625244,0.8583054827794667
M001166,Jerry McNerney,M,Democrat,1951,8,CA-09,-0.174844012,-0.59875734
M001177,Tom McClintock,M,Republican,1956,7,CA-04,0.24379441142082214,0.7305134017870901
M001184,Thomas Massie,M,Republican,1971,6,KY-04,0.24511516094207764,0.7347070772821568
M001186,Peter Meijer,M,Republican,1988,1,MI-03,-0.029112989,-0.136028709
M001195,Alexander Mooney,M,Republican,1971,4,WV-02,0.4514981508255005,1.3900192870113302
M001199,Brian Mast,M,Republican,1980,3,FL-18,0.3937714397907257,1.2067240523121732
M001202,Stephanie Murphy,F,Democrat,1978,3,FL-07,0.065843672,0.1654799529218603
M001203,Tom Malinowski,M,Democrat,1965,2,NJ-07,-0.19362323,-0.658385563
M001204,Dan Meuser,M,Republican,1964,2,PA-09,0.35373106598854065,1.079586898957077
M001205,Carol Miller (West Virginia),F,Republican,1950,2,WV-03,0.4743742346763611,1.4626559760462408
M001206,Joseph Morelle,M,Democrat,1957,3,NY-25,-0.262821615,-0.878105932
M001208,Lucy McBath,F,Democrat,1960,2,GA-06,-0.285626292,-0.950515889
M001210,Gregory Murphy,M,Republican,1963,2,NC-03,0.37419113516807556,1.144552200374729
M001211,Mary Miller (Illinois),F,Republican,1959,1,IL-15,0.6765132546424866,2.104492630904835
M001212,Barry Moore (Alabama),M,Republican,1966,1,AL-02,0.5642015337944031,1.7478777664287617
