Bioguide_ID,Name,Gender,Party,Born,Number_of_House_Terms,District,TBIP_Floor_Speeches,Standardized_Speech_Ideal_Point
E000179,Eliot Engel,M,Democrat,1947,16,NY-16,-0.389478534,-1.499199033
E000215,Anna Eshoo,F,Democrat,1942,14,CA-18,-0.264420033,-1.044870496
E000294,Tom Emmer,M,Republican,1961,3,MN-06,0.5194682478904724,1.8029389381408691
E000296,Dwight Evans,M,Democrat,1954,3,PA-03,-0.351084739,-1.359717131
E000297,Adriano Espaillat,M,Democrat,1954,2,NY-13,-0.287391931,-1.12832582
E000298,Ron Estes (U.S. House representative),M,Republican,1956,2,KS-04,0.38886958360671997,1.3284833431243896
E000299,Veronica Escobar,F,Democrat,1969,1,TX-16,-0.292185575,-1.145740747
F000449,Jeff Fortenberry,M,Republican,1960,8,NE-01,0.083051451,0.21746820211410522
F000450,Virginia Foxx,F,Republican,1943,8,NC-05,0.3232540190219879,1.0901068449020386
F000454,Bill Foster,M,Democrat,1955,6,IL-11,-0.078672431,-0.370062947
F000455,Marcia L. Fudge,F,Democrat,1952,8,OH-11,-0.235581622,-0.940102696
F000459,Charles Fleischmann,M,Republican,1962,5,TN-03,0.18963713943958282,0.6046862602233887
F000461,Bill Flores,M,Republican,1954,5,TX-17,0.4504941403865814,1.5523608922958374
F000462,Lois Frankel,F,Democrat,1948,4,FL-21,-0.195626378,-0.79494822
F000465,Drew Ferguson,M,Republican,1966,2,GA-03,0.32419347763061523,1.0935198068618774
F000466,Brian Fitzpatrick,M,Republican,1973,2,PA-01,0.3437468409538269,1.1645557880401611
F000467,Abby Finkenauer,F,Democrat,1988,1,IA-01,-0.022166321,-0.164780363
F000468,Lizzie Pannill Fletcher,F,Democrat,1975,1,TX-07,-0.102774277,-0.457623243
F000469,Russ Fulcher,M,Republican,1973,1,ID-01,0.4743608832359314,1.6390670537948608
G000377,Kay Granger,F,Republican,1943,12,TX-12,0.21203942596912384,0.6860721707344055
G000546,Sam Graves,M,Republican,1963,10,MO-06,0.22815100848674774,0.7446044087409973
G000551,Raul Grijalva,M,Democrat,1948,9,AZ-03,-0.284709811,-1.118581772
G000552,Louie Gohmert,M,Republican,1953,8,TX-01,0.19576258957386017,0.626939595
G000553,Al Green,M,Democrat,1947,8,TX-09,-0.405700594,-1.558132648
G000558,Brett Guthrie,M,Republican,1964,6,KY-02,0.2273295521736145,0.7416200637817383
G000559,John Garamendi,M,Democrat,1945,6,CA-03,-0.051701069,-0.272077978
G000560,Tom Graves,M,Republican,1970,6,GA-14,0.079152249,0.20330268144607544
G000563,Bob Gibbs,M,Republican,1954,5,OH-07,0.28366756439208984,0.9462920427322388
G000565,Paul Gosar,M,Republican,1958,5,AZ-04,0.3405173122882843,1.1528230905532837
G000568,Morgan Griffith,M,Republican,1958,5,VA-09,0.34656596183776855,1.1747974157333374
G000571,Tulsi Gabbard,F,Democrat,1981,4,HI-02,-0.104352273,-0.463355958
G000574,Ruben Gallego,M,Democrat,1979,3,AZ-07,-0.242475897,-0.965149045
G000576,Glenn Grothman,M,Republican,1955,3,WI-06,0.1956123262643814,0.6263936758041382
G000577,Daddy Graves,M,Republican,1972,3,LA-06,0.19085344672203064,0.6091050505638123
G000578,Matt Gaetz,M,Republican,1982,2,FL-01,0.2052396535873413,0.6613690853118896
G000579,Michael Gallagher (Wisconsin),M,Republican,1984,2,WI-08,0.12753789126873016,0.37908419966697693
G000582,Jenniffer González-Colón,F,Republican,1976,2,PR-AL,-0.159000471,-0.661888957
G000583,Josh Gottheimer,M,Democrat,1975,2,NJ-05,0.053159888833761215,0.10887431353330612
G000584,Greg Gianforte,M,Republican,1961,2,MT-AL,0.2625097632408142,0.8694272637367249
G000585,Jimmy Gomez,M,Democrat,1974,2,CA-34,-0.151669532,-0.635256171
G000586,Jesus Garcia,M,Democrat,1956,1,IL-04,-0.298630148,-1.169153452
G000587,Sylvia Garcia,F,Democrat,1950,1,TX-29,-0.274776697,-1.08249557
G000588,Anthony Gonzalez,M,Republican,1984,1,OH-16,0.17234261333942413,0.5418565273284912
G000590,Mark Green (Tennessee),M,Republican,1964,1,TN-07,0.29028013348579407,0.9703150391578674
G000591,Michael Guest,M,Republican,1970,1,MS-03,0.4689333736896515,1.6193493604660034
G000592,Jared Golden,M,Democrat,1982,1,ME-02,-0.069677435,-0.33738479
H000324,Alcee L. Hastings,M,Democrat,1936,15,FL-20,-0.283700317,-1.114914417
H000874,Steny Hoyer,M,Democrat,1939,20,MD-05,-0.27865991,-1.096602917
H001038,Brian Higgins,M,Democrat,1959,8,NY-26,-0.097417876,-0.438163817
H001047,Jim Himes,M,Democrat,1966,6,CT-04,-0.135861665,-0.577827334
H001052,Andrew Harris,M,Republican,1957,5,MD-01,0.2850725054740906,0.951396108
H001053,Vicky Hartzler,F,Republican,1960,5,MO-04,0.3859778046607971,1.317977786064148
H001058,Bill Huizenga,M,Republican,1969,5,MI-02,0.1631825566291809,0.5085787177085876
H001064,Denny Heck,M,Democrat,1952,4,WA-10,-0.147886619,-0.621513128
H001065,George E.B. Holding,M,Republican,1968,4,NC-02,0.3145652413368225,1.0585410594940186
H001066,Steven Horsford,M,Democrat,1973,2,NV-04,-0.274035007,-1.079801083
H001067,Richard Hudson,M,Republican,1971,4,NC-08,0.2488844245672226,0.8199273943901062
H001068,Jared Huffman,M,Democrat,1964,4,CA-02,-0.226925746,-0.908656538
H001071,Jody Hice,M,Republican,1960,3,GA-10,0.4005439877510071,1.3708956241607666
H001072,French Hill,M,Republican,1956,3,AR-02,0.297453374,0.9963749051094055
H001073,Will Hurd,M,Republican,1977,3,TX-23,0.12218470126390457,0.35963648557662964
H001077,Clay Higgins,M,Republican,1961,2,LA-03,0.2063431292772293,0.6653779149055481
H001080,Debra Haaland,F,Democrat,1960,2,NM-01,-0.363362789,-1.404322386
H001081,Jahana Hayes,F,Democrat,1973,1,CT-05,-0.107039459,-0.473118305
H001082,Kevin Hern,M,Republican,1961,2,OK-01,0.42039763927459717,1.4430224895477295
H001083,Kendra Horn,F,Democrat,1976,1,OK-05,0.015759343281388283,-0.026999163
H001085,Chrissy Houlahan,F,Democrat,1967,1,PA-06,-0.06083367,-0.305256039
