Bioguide_ID,Name,Gender,Party,Born,Number_of_House_Terms,District,TBIP_Floor_Speeches,Standardized_Speech_Ideal_Point
F000465,Drew Ferguson,M,Republican,1966,4,GA-03,0.2299691140651703,0.8468210697174072
F000466,Brian Fitzpatrick,M,Republican,1973,4,PA-01,0.15682365000247955,0.601611853
F000468,Lizzie Pannill Fletcher,F,Democrat,1975,3,TX-07,-0.247965053,-0.755381286
F000469,Russ Fulcher,M,Republican,1973,3,ID-01,0.40008315443992615,1.4171028137207031
F000470,Michelle Fischbach,F,Republican,1965,2,MN-07,0.3237210810184479,1.1611104011535645
F000471,Scott Fitzgerald (politician),M,Republican,1963,2,WI-05,0.3034938871860504,1.093301773071289
F000474,Mike Flood,M,Republican,1975,2,NE-01,0.2255222201347351,0.8319134712219238
F000475,Brad Finstad,M,Republican,1976,2,MN-01,0.2460838407278061,0.9008432030677795
F000476,Maxwell Frost,M,Democrat,1997,1,FL-10,-0.425785899,-1.351498842
F000478,Russell Fry (politician),M,Republican,1985,1,SC-07,0.3635975122451782,1.2947901487350464
G000061,Mike Garcia,M,Republican,1976,3,CA-27,0.19615933299064636,0.733478844
G000377,Kay Granger,F,Republican,1943,14,TX-12,0.2658768594264984,0.9671963453292847
G000546,Sam Graves,M,Republican,1963,12,MO-06,0.3225701153278351,1.1572519540786743
G000551,Raul Grijalva,M,Democrat,1948,12,AZ-07,-0.377832383,-1.190741897
G000553,Al Green,M,Democrat,1947,10,TX-09,-0.42892316,-1.362015963
G000558,Brett Guthrie,M,Republican,1964,8,KY-02,0.29801103472709656,1.0749213695526123
G000559,John Garamendi,M,Democrat,1945,8,CA-08,-0.067321867,-0.149802193
G000565,Paul Gosar,M,Republican,1958,7,AZ-09,0.15531466901302338,0.5965532660484314
G000568,Morgan Griffith,M,Republican,1958,7,VA-09,0.1244976595044136,0.49324387311935425
G000576,Glenn Grothman,M,Republican,1955,5,WI-06,0.3039035201072693,1.094675064086914
G000577,Garret Graves,M,Republican,1972,5,LA-06,0.2691752314567566,0.9782536625862122
G000578,Matt Gaetz,M,Republican,1982,4,FL-01,0.14431850612163544,0.5596902370452881
G000582,Jenniffer González-Colón,F,Republican,1976,4,PR-AL,0.099507406,0.40946781635284424
G000583,Josh Gottheimer,M,Democrat,1975,4,NJ-05,-0.018048257,0.015380161814391613
G000585,Jimmy Gomez,M,Democrat,1974,4,CA-34,-0.478779793,-1.52915287
G000586,Jesus Garcia,M,Democrat,1956,3,IL-04,-0.53732729,-1.725424647
G000587,Sylvia Garcia,F,Democrat,1950,3,TX-29,-0.588944376,-1.89846313
G000589,Lance Gooden,M,Republican,1982,3,TX-05,0.15384416282176971,0.5916236042976379
G000590,Mark Green (Tennessee),M,Republican,1964,4,TN-07,0.3316202461719513,1.1875911951065063
G000591,Michael Guest,M,Republican,1970,3,MS-03,0.2502024173736572,0.9146501421928406
G000593,Carlos Gimenez,M,Republican,1954,2,FL-28,0.3374135494232178,1.2070122957229614
G000594,Tony Gonzales,M,Republican,1980,2,TX-23,0.28257647156715393,1.023179292678833
G000595,Bob Good,M,Republican,1965,2,VA-05,0.24634772539138794,0.9017279148101807
G000596,Marjorie Taylor Greene,F,Republican,1974,2,GA-14,0.2763666808605194,1.0023618936538696
G000598,Robert Garcia (California),M,Democrat,1977,1,CA-42,-0.416364133,-1.319913745
G000599,Daniel Goldman,M,Democrat,1976,1,NY-10,-0.307494193,-0.954943657
G000600,Marie Gluesenkamp Perez,F,Democrat,1988,1,WA-03,0.14659102261066437,0.5673085451126099
H000874,Steny Hoyer,M,Democrat,1939,22,MD-05,-0.166491762,-0.482254326
H001038,Brian Higgins,M,Democrat,1959,10,NY-26,-0.413987488,-1.311946392
H001047,Jim Himes,M,Democrat,1966,8,CT-04,-0.133911818,-0.373034984
H001052,Andrew Harris,M,Republican,1957,7,MD-01,0.20512904226779938,0.7635484337806702
H001058,Bill Huizenga,M,Republican,1969,7,MI-04,0.18216928839683533,0.6865792870521545
H001066,Steven Horsford,M,Democrat,1973,4,NV-04,-0.447378993,-1.423886418
H001068,Jared Huffman,M,Democrat,1964,6,CA-02,-0.291637659,-0.901787043
H001072,French Hill,M,Republican,1956,5,AR-02,0.2305336892604828,0.8487136960029602
H001077,Clay Higgins,M,Republican,1961,4,LA-03,0.3022926151752472,1.0892747640609741
H001081,Jahana Hayes,F,Democrat,1973,3,CT-05,-0.594982922,-1.918706417
H001082,Kevin Hern,M,Republican,1961,4,OK-01,0.12661908566951752,0.500355601
H001085,Chrissy Houlahan,F,Democrat,1967,3,PA-06,-0.266270101,-0.816746175
H001086,Diana Harshbarger,F,Republican,1960,2,TN-01,0.17227725684642792,0.6534177660942078
H001090,Josh Harder,M,Democrat,1986,3,CA-09,0.018802892416715622,0.13891808688640594
H001091,Ashley Hinson,F,Republican,1983,2,IA-02,0.2861449122428894,1.035141944885254
H001093,Erin Houchin,F,Republican,1976,1,IN-09,0.21197646856307983,0.7865033745765686
H001094,Val Hoyle,F,Democrat,1964,1,OR-04,-0.265824258,-0.815251529
H001095,Wesley Hunt (Texas Congress),M,Republican,1981,1,TX-38,0.3259027898311615,1.1684242486953735
H001096,Harriet Hageman,F,Republican,1962,1,WY-AL,0.3172825276851654,1.139526128768921
I000056,Darrell Issa,M,Republican,1953,11,CA-48,0.21933546662330627,0.8111733198165894
I000058,Glenn Ivey,M,Democrat,1961,1,MD-04,-0.177329332,-0.518585622
J000032,Sheila Jackson Lee,F,Democrat,1950,15,TX-18,-0.287133455,-0.886687398
J000288,"Henry C. Johnson, Jr.",M,Democrat,1954,9,GA-04,-0.148286819,-0.421225011
J000289,Jim Jordan,M,Republican,1964,9,OH-04,0.3348188102245331,1.198313832
J000292,Bill Johnson (Ohio),M,Republican,1954,7,OH-06,0.2908294200897217,1.0508460998535156
J000294,Hakeem Jeffries,M,Democrat,1970,6,NY-08,-0.611483455,-1.974022031
J000295,David Joyce,M,Republican,1957,6,OH-14,0.072943352,0.32041582465171814
J000298,Pramila Jayapal,F,Democrat,1965,4,WA-07,-0.415665627,-1.317572117
J000299,Mike Johnson (Louisiana),M,Republican,1972,4,LA-04,0.18877023458480835,0.7087079882621765
J000301,Dusty Johnson,M,Republican,1976,3,SD-AL,0.32429298758506775,1.1630276441574097
J000302,John Joyce (Pennsylvania),M,Republican,1957,3,PA-13,0.4436577558517456,1.5631800889968872
J000304,Ronny Jackson,M,Republican,1967,2,TX-13,0.26053816080093384,0.9492992162704468
J000305,Sara Jacobs,F,Democrat,1989,2,CA-51,-0.380672097,-1.200261593
J000307,John James (Michigan),M,Republican,1981,1,MI-10,0.098918058,0.40749210119247437
J000308,Jeff Jackson,M,Democrat,1982,1,NC-14,-0.162814975,-0.469928443
J000309,Jonathan Jackson (Illinois),M,Democrat,1966,1,IL-01,-0.46687007,-1.489227295
K000009,Marcy Kaptur,F,Democrat,1946,21,OH-09,-0.122913755,-0.336165637
K000375,Bill Keating,M,Democrat,1952,7,MA-09,-0.089534141,-0.224265501
K000376,Mike Kelly,M,Republican,1948,7,PA-16,0.15252408385276794,0.5871981978416443
K000380,Dan Kildee,M,Democrat,1958,6,MI-08,-0.230207309,-0.695851088
K000381,Derek Kilmer,M,Democrat,1974,6,WA-06,-0.184935644,-0.544084668
K000382,Annie Kuster,F,Democrat,1956,6,NH-02,-0.34216097,-1.071158886
K000385,Robin Kelly,F,Democrat,1956,6,IL-02,-0.440696746,-1.401485205
K000388,Trent Kelly,M,Republican,1966,5,MS-01,0.2612984776496887,0.95184803
K000389,Ro Khanna,M,Democrat,1976,4,CA-17,-0.180413708,-0.528925538
K000391,Raja Krishnamoorthi,M,Democrat,1973,4,IL-08,0.027096983045339584,0.16672277450561523
K000392,David Kustoff,M,Republican,1966,4,TN-08,0.22741687297821045,0.838265061
K000394,Andrew Kim (New Jersey),M,Democrat,1982,3,NJ-03,-0.390978962,-1.234813809
K000397,Young Kim (California),F,Republican,1962,2,CA-40,0.21135501563549042,0.7844200730323792
K000398,Thomas Kean Jr.,M,Republican,1968,1,NJ-07,0.23224247992038727,0.8544421195983887
K000399,Jen Kiggans,F,Republican,1971,1,VA-02,0.088385493,0.37218326330184937
K000400,Sydney Kamlager-Dove,F,Democrat,1972,1,CA-37,-0.381985217,-1.204663634
K000401,Kevin Kiley,M,Republican,1985,1,CA-03,0.10433156788349152,0.4256400763988495
K000402,Timothy M. Kennedy,M,Democrat,1976,1,NY-26,-0.247335643,-0.753271282
